URL,Content,Time,Link
https://nitter.lucabased.xyz/AdamMancini4,Pro traders arent any better at predicting where the market will go than a hobby trader and its not the job. The difference is all in execution Finding lvls protecting profits once available stopping out  adjusting when wrong and consistant loss size control. Focus there, 12 Jun 2022,https://nitter.lucabased.xyz/AdamMancini4/status/1536094828605411329#m, " 290  697  42  4490", https://nitter.lucabased.xyz/pic/profile_images%2F899127121670541312%2FZVBuToeP_bigger.jpg, Adam Mancini
https://nitter.lucabased.xyz/AdamMancini4,The plan for today was clear 568085 was support bulls must hold to keep upside live in #ES_F. We sold to 568085 held bounced 20 points. FOMC in 1hr lock in partial gains here leave runner long size down.  250 trading days a year no need to risk size in algodriven noise, 20m,https://nitter.lucabased.xyz/AdamMancini4/status/1836448863206379574#m, " 5  6  86", https://nitter.lucabased.xyz/pic/profile_images%2F899127121670541312%2FZVBuToeP_bigger.jpg, Adam Mancini
https://nitter.lucabased.xyz/AdamMancini4,Back to range support in #ES_F at 568085. As posted 5702 to 5680 to 85 is the preFOMC chop zone and here now. Bulls must hold especially after any FOMC failed breakdowns  FOMC often sees a trap before or right after to keep 5716 5724 5760 live.  Sell below 5666 1st stop, 1h,https://nitter.lucabased.xyz/AdamMancini4/status/1836436867589214567#m, " 12  4  1  90", https://nitter.lucabased.xyz/pic/profile_images%2F899127121670541312%2FZVBuToeP_bigger.jpg, Adam Mancini
https://nitter.lucabased.xyz/AdamMancini4,PreFOMC chop continues in #ES_F  as warned dont overtrade. Trapping  volatility incoming around  after 2pm. 5702 to 568085 remains chop zone. We broke out yesterday to 5734 target back in now  568085 must hold to keep upside to 5716 5724 5760 live. Sell 5666 1st below, 1h,https://nitter.lucabased.xyz/AdamMancini4/status/1836427026028196038#m, " 7  4  1  102", https://nitter.lucabased.xyz/pic/profile_images%2F899127121670541312%2FZVBuToeP_bigger.jpg, Adam Mancini
https://nitter.lucabased.xyz/AdamMancini4,PreFOMC chop as expected in #ES_F and as warned dont overtrade. 5702 to 568085 is the chop zone. Yesterday I was looking for this zone to breakout to 5734 and we broke it then returned into it.  No change. 568085 must hold to keep 5716 5724 5760 live. Leg down5680, 2h,https://nitter.lucabased.xyz/AdamMancini4/status/1836411601626276167#m, " 9  8  1  124", https://nitter.lucabased.xyz/pic/profile_images%2F899127121670541312%2FZVBuToeP_bigger.jpg, Adam Mancini
https://nitter.lucabased.xyz/AdamMancini4,Its PreFOMC chop time dont overtrade until 2pm. 57025680 was a bull flag as posted yesterday with 5734 target in #ES_F. We hit 5734 sold down to 5680 again now chopping. 57025680chop  No change. 5716 5724 5760 if ES wants. Leg down triggers only when 568085 fails, 3h,https://nitter.lucabased.xyz/AdamMancini4/status/1836397736490328527#m, " 9  7  1  119", https://nitter.lucabased.xyz/pic/profile_images%2F899127121670541312%2FZVBuToeP_bigger.jpg, Adam Mancini
https://nitter.lucabased.xyz/AdamMancini4,All noise for #ES_F until FOMC at 2pm. On Monday 56805702 was a bull flag. I was looking for a rally to 5734 we hit it yesterday sold back to 5680 held.  56805702chop  Plan today Bulls control above 568085weak. Keeps 5716 5724 5759 live. 5680 fails sell 5666 5638, 5h,https://nitter.lucabased.xyz/AdamMancini4/status/1836375327984980450#m, " 13  10  1  153", https://nitter.lucabased.xyz/pic/profile_images%2F899127121670541312%2FZVBuToeP_bigger.jpg, Adam Mancini
https://nitter.lucabased.xyz/AdamMancini4,Closing update #ES_F After hitting todays 5734 long target we are back in the 56805702 range waiting on FOMC. Bulls have the ball until 5680 fails keeping 5702 5721 live. We finally sell only when 5680 fails. Newsletter out soon talking my FOMC plan tradecompanion.substack.com, 21h,https://nitter.lucabased.xyz/AdamMancini4/status/1836128899119350258#m, " 10  4  76", https://nitter.lucabased.xyz/pic/profile_images%2F899127121670541312%2FZVBuToeP_bigger.jpg, Adam Mancini
https://nitter.lucabased.xyz/AdamMancini4,Deja Vu in #ES_F. Yesterday 5680 to 5702 was the bull flag. I was looking for a breakout to 5734 target and we hit  sold. Now we are back to ping ponging 56805702 again. All chop now until FOMC protect gains.  Bulls must hold 5680 weak to keep upside live. Leg down below, 22h,https://nitter.lucabased.xyz/AdamMancini4/status/1836120149214085218#m, " 10  5  1  137", https://nitter.lucabased.xyz/pic/profile_images%2F899127121670541312%2FZVBuToeP_bigger.jpg, Adam Mancini
https://nitter.lucabased.xyz/AdamMancini4,NOTE ES Futures have rolled from September contract ESU2024 to December contract ESZ2024. Yesterday was my last day trading September and going forward all new levels will be December, 23h,https://nitter.lucabased.xyz/AdamMancini4/status/1836102037471400275#m, " 24", https://nitter.lucabased.xyz/pic/profile_images%2F899127121670541312%2FZVBuToeP_bigger.jpg, Adam Mancini
